Sales Register-Itemwise
Date Range: ,From 15/12/2025 to 15/12/2025
Category: ,"All"
Sub Category: ,"All"
Product: ,"All"
UOM: ,"BASE UOM"
DS Type: ,"All"
Salesman: ,"All"
Beat: ,"All"
TL: ,"All"
Transaction Type: ,"All"
"Cagetory","Sub Category","Market SKU","Item Code","Item Name","Batch","PKD","Expiry","UOM","Invoice Qty","Sales Return Qty","MRP Per Pack","Goods Value","Gross Amount","Total Discount","Tax Group Amount","Total","HSNCode","Invoice No.","Sales Return","Invoice / SR  Date","Outlet ID","Outlet Name","Channel Type","Outlet Type","Loyalty Program","RCS ID","UID","DS Id","DS Name","DS Type","Beat","TL Id","TL Name","TL Type"
"03 BISCUIT","DF FILLS","SFDFCHOCOFILLS90","FB101123LM","DARKFANTASY CHOCO FILLS 69G RS35_FB101123LM","YUT251125","26/11/2025","24/05/2026","KG","0.0000","-0.8280","35.0000","-363.6336","-343.6336","-20.0000","-17.1816","-360.8152","19053100","I/25-26/054129","SR/25-26/017138","15/12/2025","347SFA062500308","BHAN MATA TRADERS","Retail","Grocery","Retail Others","181205413408","C20220006302638","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","MP CREAM","BNC CHOC TWST RS10","FB301249T","BNC CREAM CHOCOTWIST 49.6+6.4G SF_FB301249T","B14131125-2-123152","14/11/2025","12/05/2026","KG","0.0000","-1.3440","9.0000","-185.5752","-185.5752","0.0000","-9.2788","-194.8540","19053100","I/25-26/054129","SR/25-26/017138","15/12/2025","347SFA062500308","BHAN MATA TRADERS","Retail","Grocery","Retail Others","181205413408","C20220006302638","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","MP CREAM","BNC ELCHI DLT RS10","FB302249T","BNCCREAMELAICHIDELIGHT49.6+6.4GSF_FB302249T","B05131125","14/11/2025","12/05/2026","KG","0.0000","-1.3440","9.0000","-185.5752","-185.5752","0.0000","-9.2788","-194.8540","19053100","I/25-26/054129","SR/25-26/017138","15/12/2025","347SFA062500308","BHAN MATA TRADERS","Retail","Grocery","Retail Others","181205413408","C20220006302638","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"03 BISCUIT","MP CREAM","BNC PNPL ZNG RS10","FB304249T","BNC CREAMPINEAPPLEZING49.6+6.4GSF_FB304249T","B05191125","20/11/2025","18/05/2026","KG","0.0000","-1.3440","9.0000","-185.5752","-185.5752","0.0000","-9.2788","-194.8540","19053100","I/25-26/054129","SR/25-26/017138","15/12/2025","347SFA062500308","BHAN MATA TRADERS","Retail","Grocery","Retail Others","181205413408","C20220006302638","34710","RUSHIKESH-9321844072-KASHIWALE","","All_Foods_Chinchpada_Sushil","347TL21","SANJAY MULEY","TL GR1"
"17 AGARBATTI","Popular Large Pack","MD603IN1","12555","MD NEW 3IN1 RS.60 FREE MB_12555","A06-1-163056940","07/11/2025","01/01/2099","KG","0.0920","0.0000","60.0000","37.4120","37.4120","0.0000","1.8706","39.2826","33074100","I/25-26/055081","","15/12/2025","347SD850526","MAMTA MEDICO","Retail","Chemist","Retail Others","180601561082","180601561082","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Large Pack","MD60FUSIONS","12736","MD RS 60 FUSIONS 91G PROMO_12736","A261124326","22/11/2024","01/01/2099","KG","0.0910","0.0000","60.0000","37.4136","37.4136","0.0000","1.8706","39.2842","33074100","I/25-26/055081","","15/12/2025","347SD850526","MAMTA MEDICO","Retail","Chemist","Retail Others","180601561082","180601561082","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Large Pack","MD60SCENT3IN1","12989","MD RS 60 SCENT 3IN1 PROMO_12989","A22","27/10/2025","01/01/2099","KG","0.0910","0.0000","60.0000","37.4089","37.4089","0.0000","1.8704","39.2793","33074100","I/25-26/055081","","15/12/2025","347SD850526","MAMTA MEDICO","Retail","Chemist","Retail Others","180601561082","180601561082","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"29 ANTISEPTIC LIQUID","Savlon Antiseptic Liquid","SVASDL200","PSVAL0088","SAVLON DISINFECTANT LIQUID 200ML_PSVAL0088","AI25187","18/11/2025","31/10/2028","L","0.2000","0.0000","103.0000","84.5644","84.5644","0.0000","4.2282","88.7926","30049099","I/25-26/055081","","15/12/2025","347SD850526","MAMTA MEDICO","Retail","Chemist","Retail Others","180601561082","180601561082","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Large Pack","MD60FUSIONS","12736","MD RS 60 FUSIONS 91G PROMO_12736","A261124326","22/11/2024","01/01/2099","KG","0.1820","0.0000","60.0000","74.8272","74.8272","0.0000","3.7414","78.5686","33074100","I/25-26/055082","","15/12/2025","34718563","POOJA SUPER MARKETT","Retail","Grocery","Retail Others","180601529063","180601529063","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD10BOQGM","12619","MD REFRESH BOUQUET NP 14G (N)_12619","A06","14/07/2025","01/01/2099","KG","0.0840","0.0000","10.0000","44.7468","42.5676","2.1792","2.1284","44.6960","33074100","I/25-26/055082","","15/12/2025","34718563","POOJA SUPER MARKETT","Retail","Grocery","Retail Others","180601529063","180601529063","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD12POPMOGRAFLEXI","12732","MD RS. 12 MOGRA FLEXI_12732","A22-1-180220283","08/10/2025","01/01/2099","KG","0.2760","0.0000","12.0000","88.3428","76.8582","11.4846","3.8430","80.7012","33074100","I/25-26/055082","","15/12/2025","34718563","POOJA SUPER MARKETT","Retail","Grocery","Retail Others","180601529063","180601529063","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"18 MATCHES","Basic","SHIPHOR","21188","SHIP SUPERIOR RS1 27S_21188","1125BI","05/11/2025","01/01/2099","M_S","0.6000","0.0000","10.0000","425.5800","425.5800","0.0000","21.2790","446.8590","36050010","I/25-26/055082","","15/12/2025","34718563","POOJA SUPER MARKETT","Retail","Grocery","Retail Others","180601529063","180601529063","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD103IN1","12611","MD 10 NEW3IN1RS.10NP 14G-OUTER (N)_12611","A21-1-130136503","31/07/2025","01/01/2099","KG","0.0840","0.0000","10.0000","45.0564","42.8622","2.1942","2.1432","45.0054","33074100","I/25-26/055083","","15/12/2025","3471130","ANURAG GENERAL STORE","Retail","Grocery","Retail Others","180601619931","180601619931","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD10LAVENDERGM","12617","MD REFRESH LAVENDER NP 14G (N)_12617","A06-1-010208546","27/08/2025","01/01/2099","KG","0.0840","0.0000","10.0000","44.7468","42.5676","2.1792","2.1284","44.6960","33074100","I/25-26/055083","","15/12/2025","3471130","ANURAG GENERAL STORE","Retail","Grocery","Retail Others","180601619931","180601619931","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"18 MATCHES","Basic","SHIPHOR","21188","SHIP SUPERIOR RS1 27S_21188","1125BI","05/11/2025","01/01/2099","M_S","0.6000","0.0000","10.0000","425.5800","425.5800","0.0000","21.2790","446.8590","36050010","I/25-26/055083","","15/12/2025","3471130","ANURAG GENERAL STORE","Retail","Grocery","Retail Others","180601619931","180601619931","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"18 MATCHES","Basic","SHIPHOR","21188","SHIP SUPERIOR RS1 27S_21188","1125BI","05/11/2025","01/01/2099","M_S","0.3000","0.0000","10.0000","212.7900","212.7900","0.0000","10.6396","223.4296","36050010","I/25-26/055084","","15/12/2025","347SD430003","MOHAN SUPER MKT","Retail","Grocery","Retail Class A","180601568080","WMUM-FC-149417","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"24 DEODORANT","Engage Pocket Perfume","ENGMANPKTMV18","PENPK0161","ENGAGE ON MAN ASSORTED 17ML_PENPK0161","H00300825-2-180211","02/09/2025","03/09/2030","L","0.0510","0.0000","65.0000","132.2034","113.1396","19.0638","20.3652","133.5048","33030010","I/25-26/055085","","15/12/2025","347SFA062500356","SHIVSHAKTI KIRINA","Retail","Chemist/Cosmetics","Retail Others","181205423491","C20220006312468","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"24 DEODORANT","Engage Pocket Perfume","ENGWOMANPKTMV18","PENPK0162","ENGAGE ON WOMAN ASSORTED 17ML_PENPK0162","H00120825-1-04013496","04/09/2025","04/09/2030","L","0.1020","0.0000","65.0000","264.4068","226.2792","38.1276","40.7302","267.0094","33030010","I/25-26/055085","","15/12/2025","347SFA062500356","SHIVSHAKTI KIRINA","Retail","Chemist/Cosmetics","Retail Others","181205423491","C20220006312468","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD103IN1","12611","MD 10 NEW3IN1RS.10NP 14G-OUTER (N)_12611","A21-1-130136503","31/07/2025","01/01/2099","KG","0.1680","0.0000","10.0000","90.1128","85.7243","4.3885","4.2862","90.0105","33074100","I/25-26/055086","","15/12/2025","347SD600013","BHAVANI SUPER MKT","Retail","Grocery","Retail Class A","180601674250","180601674250","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD10LAVENDERGM","12617","MD REFRESH LAVENDER NP 14G (N)_12617","A06-1-010208546","27/08/2025","01/01/2099","KG","0.1680","0.0000","10.0000","89.4936","85.1352","4.3584","4.2568","89.3920","33074100","I/25-26/055086","","15/12/2025","347SD600013","BHAVANI SUPER MKT","Retail","Grocery","Retail Class A","180601674250","180601674250","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD10MOGRAGM","12621","MD REFRESH MOGRA NP 14G (N)_12621","A06-1-121721556","30/09/2025","01/01/2099","KG","0.1680","0.0000","10.0000","89.4936","85.1352","4.3584","4.2568","89.3920","33074100","I/25-26/055086","","15/12/2025","347SD600013","BHAVANI SUPER MKT","Retail","Grocery","Retail Class A","180601674250","180601674250","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD10ROSEGM","12613","MD REFRESH ROSE NP 14G (N)_12613","A06-1-123406950","06/09/2025","01/01/2099","KG","0.0840","0.0000","10.0000","44.7468","42.5676","2.1792","2.1284","44.6960","33074100","I/25-26/055086","","15/12/2025","347SD600013","BHAVANI SUPER MKT","Retail","Grocery","Retail Class A","180601674250","180601674250","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD10ROSEGM","12613","MD REFRESH ROSE NP 14G (N)_12613","A06-1-130136503","06/09/2025","01/01/2099","KG","0.0840","0.0000","10.0000","45.0564","42.8622","2.1942","2.1432","45.0054","33074100","I/25-26/055086","","15/12/2025","347SD600013","BHAVANI SUPER MKT","Retail","Grocery","Retail Class A","180601674250","180601674250","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Small Pack","MD14TREYAG","12353","MD TREYA FREE MB 13G_12353","A2223289_SA123155415","30/11/2024","31/12/2099","KG","0.1560","0.0000","10.0000","95.1996","89.8399","5.3597","4.4920","94.3319","33074100","I/25-26/055086","","15/12/2025","347SD600013","BHAVANI SUPER MKT","Retail","Grocery","Retail Class A","180601674250","180601674250","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"29 ANTISEPTIC LIQUID","Savlon Antiseptic Liquid","SVAL100","PSVAL0086","SAVLON DISINFECTANT LIQUID 100ML_PSVAL0086","SAL25208-1-123201133","23/09/2025","17/09/2028","L","0.2000","0.0000","58.0000","95.2384","93.3336","1.9048","4.6666","98.0002","30049099","I/25-26/055087","","15/12/2025","347SD0000013","PATEL CHEMIST","Retail","Chemist","Retail Others","181203477429","C20220002934945","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"29 ANTISEPTIC LIQUID","Savlon Antiseptic Liquid","SVAL50","PSVAL0075","SAVLON DISINFECTANT LIQUID 50ML_PSVAL0075","SAL2519755909","01/09/2025","31/07/2028","L","0.2500","0.0000","31.0000","119.0610","116.6798","2.3812","5.8340","122.5138","30049099","I/25-26/055087","","15/12/2025","347SD0000013","PATEL CHEMIST","Retail","Chemist","Retail Others","181203477429","C20220002934945","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"14 SHOWERGEL","Fiama Shower Gel","FDHNSGYM250","PFDSG0414","FIAMA HN SHOWER GEL Y&B 250ML_PFDSG0414","H00110325","16/03/2025","16/03/2028","L","0.2500","0.0000","199.0000","145.6463","118.8183","26.8280","21.3872","140.2055","33073090","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"14 SHOWERGEL","Fiama Shower Gel","FDLFSG250","PFDSG0532","FIAMA SHOWER GEL P&M 250ML-NC_PFDSG0532","900210425-3-213027","01/05/2025","29/04/2028","L","0.2500","0.0000","199.0000","145.6460","118.8180","26.8280","21.3872","140.2052","33073090","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"14 SHOWERGEL","Fiama Shower Gel","FDMDSG250","PFDSG0377","FIAMA SHOWER GEL P&A 250ML-C_PFDSG0377","H00311023","30/10/2023","26/10/2026","L","0.2500","0.0000","225.0000","116.2961","116.2961","0.0000","20.9332","137.2293","33073090","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"14 SHOWERGEL","Fiama Shower Gel","FDMSGDC250","PFDSG0536","FIAMA MEN SHOWER GEL DC 250ML-NC_PFDSG0536","H00030725","02/07/2025","01/07/2028","L","0.2500","0.0000","199.0000","145.6463","118.8183","26.8280","21.3872","140.2055","33073090","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"14 SHOWERGEL","Fiama Shower Gel","FDSGGSP250","PFDSG0534","FIAMA SHOWER GEL GS&P 250ML-NC_PFDSG0534","H00110925","11/09/2025","10/09/2028","L","0.2500","0.0000","149.0000","109.0526","109.0526","0.0000","19.6294","128.6820","33073090","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"14 SHOWERGEL","Fiama Shower Gel","FDSGMM250","PFDSG0535","FIAMA SHOWER GEL M&M 250ML-NC_PFDSG0535","H00020525-1-13015171","20/05/2025","19/05/2028","L","0.2500","0.0000","199.0000","145.6463","118.8183","26.8280","21.3872","140.2055","33073090","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"17 AGARBATTI","Popular Large Pack","MD50MARIGOLDGM","12457","MD REFRESH MARIGOLD FREE MB 95G_12457","A260525167","26/09/2025","01/01/2099","KG","0.1900","0.0000","55.0000","79.3714","74.9662","4.4052","3.7484","78.7146","33074100","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"18 MATCHES","Basic","SHIPHOR","21188","SHIP SUPERIOR RS1 27S_21188","1125BI","05/11/2025","01/01/2099","M_S","0.3000","0.0000","10.0000","212.7900","212.7900","0.0000","10.6396","223.4296","36050010","I/25-26/055088","","15/12/2025","347SD430029","PATEL MART","Retail","Grocery","Retail Others","180601634986","180601634986","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"24 DEODORANT","Engage Pocket Perfume","ENGMANPKTMV18","PENPK0161","ENGAGE ON MAN ASSORTED 17ML_PENPK0161","H00300825-2-180211","02/09/2025","03/09/2030","L","0.1020","0.0000","65.0000","264.4068","213.3234","51.0834","38.3982","251.7216","33030010","I/25-26/055089","","15/12/2025","347RCS2016-104","CARE CHEMIIST","Retail","Chemist","Retail Others","180601587905","180601587905","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"24 DEODORANT","Engage Pocket Perfume","ENGWOMANPKTMV18","PENPK0162","ENGAGE ON WOMAN ASSORTED 17ML_PENPK0162","H00120825","04/09/2025","04/09/2030","L","0.1020","0.0000","65.0000","264.4068","213.3234","51.0834","38.3982","251.7216","33030010","I/25-26/055089","","15/12/2025","347RCS2016-104","CARE CHEMIIST","Retail","Chemist","Retail Others","180601587905","180601587905","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"27 HAND WASH","Savlon Hand Wash","SVHWMS80","PSVHW0432","SAVLON MOISTURE SHIELD 80ML CB-NC_PSVHW0432","902440925","08/09/2025","07/09/2028","L","0.2400","0.0000","30.0000","55.1235","54.0210","1.1025","9.7238","63.7448","34025000","I/25-26/055089","","15/12/2025","347RCS2016-104","CARE CHEMIIST","Retail","Chemist","Retail Others","180601587905","180601587905","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"27 HAND WASH","Savlon Powder Hand Wash","SVHWPD9","PSVHW0409","SAVLON POWDER HANDWASH 8.2G_PSVHW0409","O01990825-2-143007","28/08/2025","22/08/2027","KG","0.0820","0.0000","10.0000","67.7970","67.7970","0.0000","12.2034","80.0004","34025000","I/25-26/055089","","15/12/2025","347RCS2016-104","CARE CHEMIIST","Retail","Chemist","Retail Others","180601587905","180601587905","34714","DHIRAJ PCP-9867213346","Grocery 2 Ds","KARNIK ROAD GR2","347TL23","ANANTA","TL GR2"
"24 DEODORANT","Engage Pocket Perfume","ENGMANPKTMV18","PENPK0161","ENGAGE ON MAN ASSORTED 17ML_PENPK0161","H00300825","02/09/2025","03/09/2030","L","1.0200","0.0000","65.0000","2644.0680","1940.4815","703.5865","349.2866","2289.7681","33030010","I/25-26/055090","","15/12/2025","347RCS2016-65","AASHIRWAD SUPER MARKET","Retail","Grocery","Retail Others","180601661021","180601661021","34717","MANISH - 8779142295   PAYAL -9321848735","Grocery 2 Ds","KAILASH NAGAR GR2","347TL23","ANANTA","TL GR2"
"15 TOILET SOAP","Fiama Soaps","FDGBB75X6","PFDSO0630","FIAMA GBB MV 75G CFC WIN-HANGER_PFDSO0630","900500325","08/03/2025","07/03/2028","KG","0.0750","0.0000","40.0000","30.1318","30.1318","0.0000","1.5066","31.6384","34011190","I/25-26/055091","","15/12/2025","347SD850434","NEW PRABHU GENERAL STORES","Retail","Grocery","Retail Others","180601719661","180601719661","34717","MANISH - 8779142295   PAYAL -9321848735","Grocery 2 Ds","KAILASH NAGAR GR2","347TL23","ANANTA","TL GR2"
